bitmap_index,sx,sy,sw,sh,ox,oy
0,0,44,78,30, dead
0,0,8,78,30, 1HP, unused
0,82,152,78,30, 2HP
0,82,224,78,30, 3HP
0,0,224,78,30, 4HP
0,82,188,78,30, 5HP
0,82,116,78,30, 6HP
0,0,116,78,30, 7HP
0,0,152,78,30, 8HP

0,0,188,78,30, 1HP (red)
0,0,80,78,30, 2HP (white)

# Cuphead cards atlas
0,213,193,18,28 , empty
0,168,227,12,28,-3 , flip 0
0,196,227,5,28, -7, flip 1
0,114,83, 5, 28 , -7, flip 2
0,192,193,12,28, -3 , flip 3
0,130,83,18,28 , card full

# Mugman cards atlas
0,90,49,5,28,-7, flip 2 (using empty, flip 0-1 from cuphead)
0,192,159, 12,28,-3, flip 3
0,212,227,18,28, card full
